Names	studentID	College	profession	Score1	Score2	Score3	Score4	TotalScore	
liang	0	NJU	CS	80	92	91	87	350	
lu	0	NJU	CS	80	91	90	95	356	
jiang	0	NJU	CS	80	90	89	87	346	
gan	0	NJU	CS	80	89	88	88	345	
zhang	0	NJU	CS	80	88	95	89	352	
huang	0	NJU	CS	80	84	87	90	341	
ze	0	NJU	CS	81	84	88	91	344	
guo	0	NJU	CS	81	84	89	92	346	
jun	0	NJU	CS	81	93	90	82	346	
jia	0	NJU	CS	81	92	91	83	347	
nan	0	NJU	CS	81	91	92	84	348	
jing	0	NJU	CS	82	90	82	85	339	
xie	0	NJU	CS	83	89	83	86	341	
lei	0	NJU	CS	84	88	84	87	343	
sang	0	NJU	CS	85	95	85	95	360	
ban	0	NJU	CS	86	92	86	87	351	
li	0	NJU	CS	87	91	87	88	353	
ting	0	NJU	CS	88	90	87	89	354	
zhong	0	NJU	CS	89	89	88	90	356	
shu	0	NJU	CS	90	88	89	91	358	
su	0	NJU	CS	91	84	90	92	357	
xin	0	NJU	CS	92	84	91	82	349	
yue	0	NJU	CS	82	84	92	83	341	
xing	0	NJU	CS	83	93	82	84	342	
que	0	NJU	CS	84	92	83	85	344	
ding	0	NJU	CS	85	91	84	86	346	
ma	0	NJU	CS	86	90	85	87	348	
hao	0	NJU	CS	87	89	86	95	357	
de	0	NJU	CS	88	88	87	87	350	
liu	0	NJU	CS	89	95	87	88	359	
ze	0	NJU	CS	90	92	88	89	359	
cao	0	NJU	CS	91	91	89	90	361	
chao	0	NJU	CS	92	90	90	91	363	
guan	0	NJU	CS	92	89	91	92	364	
xi	0	NJU	CS	92	88	92	82	354	
mei	0	NJU	CS	92	84	82	83	341	
le	0	NJU	CS	92	84	83	84	343	
na	0	NJU	CS	92	84	84	85	345	
jiu	0	NJU	CS	92	93	85	86	356	
zhe	0	NJU	CS	92	92	86	87	357	
yang	0	NJU	CS	92	91	87	95	365	
ba	0	NJU	CS	92	90	87	87	356	
ni	0	NJU	CS	92	89	88	88	357	
wo	0	NJU	CS	84	88	89	89	350	
shi	0	NJU	CS	84	95	90	90	359	
suo	0	NJU	CS	84	92	91	91	358	
you	0	NJU	CS	84	91	92	92	359	
ke	0	NJU	CS	84	90	82	82	338	
neng	0	NJU	CS	84	89	83	83	339	
tan	0	NJU	CS	84	88	84	84	340	
lan	0	NJU	CS	84	84	85	85	338	
fa	0	NJU	CS	84	84	86	86	340	
cha	0	NJU	CS	93	84	87	87	351	
zhao	0	NJU	CS	92	93	87	95	367	
lian	0	NJU	CS	91	92	88	87	358	
jie	0	NJU	CS	90	91	89	88	358	
xia	0	NJU	CS	89	90	90	89	358	
yuan	0	NJU	CS	88	89	91	90	358	
qun	0	NJU	CS	87	88	92	91	358	
wang	0	NJU	CS	86	95	82	92	355	
er	0	NJU	CS	85	92	83	82	342	
xiao	0	NJU	CS	84	91	84	83	342	
pei	0	NJU	CS	83	90	85	84	342	
cheng	0	NJU	CS	84	89	86	85	344	
chen	0	NJU	CS	84	88	87	86	345	
huang	0	NJU	CS	84	84	87	87	342	
ze	0	NJU	CS	93	84	88	95	360	
guo	0	NJU	CS	92	84	89	87	352	
jun	0	NJU	CS	91	93	90	88	362	
jia	0	NJU	CS	90	92	91	89	362	
nan	0	NJU	CS	89	91	92	90	362	
jing	0	NJU	CS	88	90	82	91	351	
xie	0	NJU	CS	84	89	83	92	348	
lei	0	NJU	CS	84	88	84	82	338	
sang	0	NJU	CS	84	95	85	83	347	
ban	0	NJU	CS	93	92	86	84	355	
li	0	NJU	CS	92	91	87	85	355	
yang	0	NJU	CS	91	90	87	86	354	
ba	0	NJU	CS	90	89	88	87	354	
ni	0	NJU	CS	89	88	89	95	361	
wo	0	NJU	CS	88	84	90	87	349	
shi	0	NJU	CS	84	84	91	88	347	
suo	0	NJU	CS	84	84	92	89	349	
you	0	NJU	CS	84	93	82	90	349	
ke	0	NJU	CS	93	92	83	91	359	
neng	0	NJU	CS	92	91	84	92	359	
tan	0	NJU	CS	91	90	85	82	348	
lan	0	NJU	CS	90	89	86	83	348	
fa	0	NJU	CS	89	88	87	84	348	
cha	0	NJU	CS	88	95	87	85	355	
zhao	0	NJU	CS	84	92	88	86	350	
lian	0	NJU	CS	84	91	89	87	351	
ci	0	NJU	CS	84	90	90	95	359	
wai	0	NJU	CS	93	89	91	87	360	
gu	0	NJU	CS	92	88	92	88	360	
ji	0	NJU	CS	91	84	82	89	346	
yi	0	NJU	CS	90	84	83	90	347	
ha	0	NJU	CS	89	84	84	91	348	
en	0	NJU	CS	88	93	85	92	358	
